movie_title,year,combined_rating,total_popularity
evangelion: 3.0 you can (not) redo,2012,5.0,3
exodus,2018,6.4,29
eye witness,1950,6.3,408
falling from earth,2007,6.4,36
far from the barbarians,1994,6.0,25
father sergius,1979,7.2,134
fatwa,2006,3.8,499
final destination 5,2011,9.0,1
fine art of hair pulling,1992,8.0,8
following the tundra wolf,1974,7.1,13
for better or for worse,1993,7.1,42
forbidden paris,1970,4.6,65
frontline,1975,9.3,12
fugay,2017,6.2,109
fun for three,1974,5.4,450
gallant journey,1946,6.1,325
gangchil,1980,6.4,6
gary,2024,6.6,527
"gods must be crazy, the",1980,10.0,28
gong-dong-jeong-beom,2017,7.2,11
"good morning, athens",1960,6.3,47
good villain,2015,9.1,12
green street hooligans,2005,7.4,166038
gun fever,1958,5.5,221
half brother,2018,5.8,145
hall pass,2006,7.5,24
happy happy joy joy: the ren & stimpy story,2020,7.1,976
home free,2024,7.8,22
homunculus,1916,6.6,95
how to tell you're a douchebag,2016,5.2,192
hunting for the hag,2023,4.1,56
if a man answers,1962,6.8,1302
"in crowd, the",2000,6.0,3
inspector calzonzin,1974,7.1,210
it came from hollywood,1982,4.0,1
it comes at night,2017,7.0,1
izo,2004,6.0,4827
izzat,1991,5.8,70
jagun jagun,2023,3.9,799
jalwa,1987,6.6,213
jestem przeciw,1985,6.5,36
just 1 day,2021,6.6,65
kiss kiss,2019,2.7,424
kiss of the dragon,2001,7.0,9
kizumomo.,2008,5.9,44
klute,1971,10.0,6
l'école est finie,1979,6.0,30
la calma,2022,7.6,7
la sangre de nostradamus,1962,5.3,65
la voleuse de saint-lubin,1999,6.4,145
laado,2000,7.7,39
"last stand, the",2013,7.0,2
left-handed fate,1966,5.6,261
"lion in winter, the",1968,7.0,9
los ojos más lindos del mundo,1943,8.4,8
lost in translation,2003,7.85,508949
louis de funès intime,2007,7.5,34
lukochuri,2024,7.0,11
luna de miel en río,1940,7.0,25
mad youth,1939,5.0,273
maggots and men,2009,7.4,32
magino story: raising silkworms,1977,8.0,9
makibefo,2001,7.1,39
"man with the iron fists, the",2012,5.0,1
mauban: ang resiko,2014,7.7,10
may madham,1994,6.4,169
maybe baby,2000,7.0,1
me and morrison,2001,4.9,1962
melencio magat: dugo laban dugo,1995,6.0,15
mike's new car,2002,8.0,1
minas do futebol,2017,8.1,7
miss congeniality,2000,7.0,64
mister rogers: it's you i like,2018,8.2,298
moments of erotic passion,1976,4.8,10
"n!ai, the story of a !kung woman",1981,7.5,64
nadine,1987,6.0,3
"night at the opera, a",1935,8.0,9
night on earth,1991,4.0,8
nika,2022,6.6,276
nobody's perfect,2008,4.4,81
národ sobe aneb ceské more v osmnácti prílivech,2003,6.4,24
odin khoroshiy den,2025,7.3,12
oflu hoca 4,2024,5.0,28
ognisty aniol,1986,5.5,12
on dangerous ground,1951,7.2,8689
onnelliset,1954,4.9,38
ostrov svaté heleny,2011,1.8,16
pan dodek,1971,6.6,25
paramour,1973,6.1,10
pattam pole,2013,5.0,716
paulo coelho - mein leben,2011,8.0,8
perceval le gallois,1978,6.9,1636
peter schiesst den vogel ab,1959,5.1,125
phoenix,1987,4.7,9
plan 9 from outer space,1959,5.0,8
police cordon,1955,6.3,54
postcards from rome,2008,7.1,14
pretruniga vesture,2010,7.6,15
primal,2019,4.9,11903
prince arsalan,1966,6.3,60
prísne tajné premiéry,1968,6.9,41
public enemies,2009,8.0,9
puebla de las mujeres,1953,4.4,15
"punisher, the",2004,6.0,17
puthumukhangal,2010,5.7,19
"quick and the dead, the",1995,6.0,32
rakoczy-marsch,1933,6.8,15
ranveer vs. wild with bear grylls,2022,6.7,4290
rave review,1994,5.0,37
really,2006,6.0,42
rebellerna,2005,7.0,8
remember?,1939,5.9,618
reo speedwagon: live in the heartland,2011,6.8,10
resolution,2012,8.0,1
rocky,1976,10.0,64
ronnie o'sullivan: seventh heaven,2022,8.0,37
rosé all day,2022,4.1,137
ruaa halema,2003,6.4,11
rupa rani ramkali,2001,6.0,9
rushmore,1998,10.0,56
samba on your feet,2005,8.4,16
"sand pebbles, the",1966,8.0,2
saunh mitti di,2023,8.4,11
scrooged,1988,6.0,24
sensual jungle,1969,3.5,47
sewol: years in the wind,2024,1.0,20
shirin,2008,6.7,2931
siklo,2022,5.0,636
silent notes,2024,8.6,8
sin sister,2020,5.1,65
sinking sand,2016,5.9,69
sitara,1980,7.4,42
sling blade,1996,8.0,47
smritimedur,2009,6.6,6
soul,2019,6.0,1222
splendor in the grass,1961,9.0,2
"spy next door, the",2010,4.0,1
"squid and the whale, the",2005,4.0,9
stakeout,1958,7.1,480
star trek: the motion picture,1979,6.0,45
stormy waters,1941,7.2,1696
struggle of giants,1962,6.9,30
tacoma,2024,3.4,171
tak blízko u nebe,1964,4.6,9
teen taal,2016,8.1,30
ten thousand bedrooms,1957,5.6,587
the antarctica challenge,2009,6.2,146
the case,2021,7.4,20
the citizen,2016,7.1,893
the dynamiters,1956,5.8,211
the great big boo!,2017,4.8,8
the happy worker,2022,6.8,264
the heart of a nation,1943,6.2,154
the high schoolers guide to college parties,2015,2.7,280
the intern,2015,10.0,13
the last high: the lure and lie of smoking synthetics,2017,8.8,9
the legend of hei,2019,7.3,2607
the luck which touched the leg,1930,4.8,51
the making of fanny and alexander,1984,7.5,1064
the night fernando pessoa met constantine cavafy,2008,7.7,121
the perfect number,2022,5.0,111
the quarry,1990,7.9,31
the rodfellows movie,2020,2.0,146
the secret army,2024,6.7,118
the silent planet,2024,4.8,198
the swing of things,2020,3.0,1995
the trespasser,2001,7.1,1944
the war on children,2024,5.7,708
theekkadal,1980,5.8,9
three fugitives,1989,2.0,1
tickets,2005,6.9,2907
tres,2018,4.6,8
un año perdido,1993,5.5,52
una luz afuera,2023,6.4,7
unflinching triumph: the philip rockhammer story,2007,7.7,49
uninhabited,2010,4.3,3081
"upside of anger, the",2005,6.0,3
valentina or the serenity,2023,6.7,69
valmiki,1963,7.8,15
victoire,2023,6.3,114
wailings in the forest,2016,7.7,19
walking,2011,6.7,75
whistling princess,2002,3.8,30
william shakespeare's romeo + juliet,1996,7.0,36
wind river,2017,9.0,5
wtf is neurocam?,2011,6.2,10
yudino zhelyazo,1989,4.9,18
"à venise, une nuit",1937,5.4,13
åsa-nisse i full fart,1957,4.0,150
sergio and sergei,2017,6.5,515
waiting room,2015,6.8,6
9 to 5: days in porn,2008,6.3,2242
a country called home,2015,5.9,1262
a thunder of drums,1961,6.0,1057
a woman escapes,2022,5.7,67
a woman in winter,2006,5.6,264
agdgoma,1982,7.8,19
almost charming,2013,5.6,756
"american president, the",1995,8.0,70
andrea doria -74,1970,7.7,10
animation legend: winsor mccay,1993,7.4,68
"ant bully, the",2006,6.0,2
apple stories,2012,5.4,14
artemisia,1997,8.0,2
ashanti,1982,5.6,149
bacon on the side,2010,4.6,586
bad asses on the bayou,2015,5.0,1
"barcelona, la rosa de foc",2014,5.8,75
beezel,2024,4.8,1263
behind the scenes of the business of show business,1983,9.1,69
bettada huli,1965,8.6,24
beware the gonzo,2010,6.2,1852
bhalobasha karey koy,2002,5.5,18
biye bibhrat,2023,6.0,138
black butler: book of the atlantic,2017,8.0,1
bleeke bet,1934,6.3,57
blood of the crown,2019,7.2,11
boss no balls,1989,7.6,17
"boys of baraka, the",2005,7.0,1
broken promise,2009,6.7,488
"cable guy, the",1996,2.0,54
capitan basilico 2 - i fantastici 4+4,2011,5.6,21
chacrinha: o velho guerreiro,2018,6.7,433
chandramuki pranasakhi,1999,8.4,15
charly,1968,8.0,1
cinema d'altri tempi,1953,5.6,44
clear years,2015,6.1,11
cop unbowed,2004,5.1,35
cuando los hombres quedan solos,2019,4.4,14
darken,2006,5.1,33
de nacht,2018,8.1,10
death cleaning,2023,6.8,9
death to smoochy,2002,9.0,11
deodato holocaust,2019,6.6,130
detective conan: the phantom of baker street,2002,7.8,4349
detective hibari 3: hidden coin,1959,6.8,8
devolver direct 2020,2020,7.9,9
dna,2019,8.2,32
dobermann,1997,5.0,1
down by law,1986,6.8,56961
dr. horrible's sing-along blog,2008,8.0,24
dragon trap,2010,6.5,5690
dreamkatcher,2020,3.8,2686
driving north: e-autos am limit,2022,8.5,11
drugstore cowboy,1989,10.0,10
earworm,2024,2.3,211
ed hardy: tattoo the world,2010,6.8,75
edge of tomorrow,2014,9.0,44
eiffel,2021,6.2,8313
el domini del sentits,1996,6.4,34
emerald green,2016,8.0,1
end of the world,2018,2.7,858
evelyn in the cloud,2023,8.7,43
family ornaments,2023,6.7,84
farha,2021,8.0,90165
feel my pulse,1928,6.9,252
first spaceship on venus,1960,4.7,3328
for the love of mike,1927,4.8,89
framework,2007,8.2,76
franklin wunder,2010,7.5,12
free and easy 13: hama-chan in crisis!,2002,6.1,20
frivolous wife,2008,5.3,192
frk. vildkat,1942,6.8,69
full count,2019,5.7,734
fury,2021,6.8,30
go go 70s,2008,6.7,214
hazreti eyüb'ün sabri,1965,5.4,10
high life,2005,6.5,22
"human condition ii, the (ningen no joken ii)",1959,9.0,1
hunting with tigers,2024,5.6,512
i found stella parish,1935,6.7,624
ice age: the meltdown,2006,6.8,306597
idaho transfer,1973,1.0,1
if my lover were a flower,2024,8.5,8
il burbero,1986,6.2,1386
inside job,2010,10.0,12
invasion: stanford 1991 a.d.,1990,7.2,26
isaskar keturin ihmeelliset seikkailut,1960,5.1,82
it's kind of a funny story,2010,7.55,150171
je m'appelle humain,2020,7.3,44
join or die,2023,6.7,195
judy berlin,1999,6.9,1109
kamalar banabas,1998,5.2,16
kanney raadha,1982,4.7,9
kirayi rowdylu,1981,8.1,58
kuttanpillayude sivarathri,2018,6.5,644
l'homme à l'hispano,1926,5.8,11
l'orizzonte chiuso,2024,8.0,5
la barra de la esquina,1950,7.2,48
la reina joven,1916,4.6,16
"last boy scout, the",1991,7.0,8
last man standing,1996,8.0,13
late spring,1949,8.2,20341
learning to drive,2014,6.4,8418
libertad,2021,6.4,866
life is lovely,2017,7.4,2324
live survival,2023,2.7,60
los corroboradores,2018,7.3,76
love from ground zero,1998,7.4,123
love in paradise,1986,5.7,30
love liza,2002,6.0,3
love thy neighbor - the story of christian riley garcia,2021,7.6,25
maan karate,2014,5.2,2074
mahajatra,2024,7.4,268
"man for all seasons, a",1966,10.0,6
manasu mata vinadu,2005,5.8,12
manhandlers,2012,9.3,12
manhattan gigolo,1986,4.9,52
manyunya. priklyucheniya v moskve,2024,5.8,109
melgarejo,1937,6.3,17
mentor,2020,7.4,96
meri lalkaar,1990,3.6,23
midnight party,2012,3.3,26
mr. what's-his-name?,1935,5.5,11
"murder me, monster",2018,5.5,1113
música en espera,2009,6.6,831
na svete zhivut dobrye i khoroshie lyudi,2010,5.1,52
narcos italia - plata o plomo,2023,4.4,51
no cap,2024,5.8,34
not just another woman,1974,8.0,21
nuits très chaudes aux caraïbes,1979,4.1,44
operation 'y' & other shurik's adventures,1965,5.0,3
otsnebebis sasaplao,1997,7.4,35
our biosphere: the earth in our hands,1991,6.0,13
out west with the hardys,1938,6.5,487
p... comme pénétration,1976,3.8,16
paint dry,2017,6.2,20
paranormal activity 2,2010,7.0,5
pariban: idola dari tanah jawa,2019,7.4,57
partner,1968,6.2,973
passfire,2016,8.6,30
piazzàti,2009,6.9,13
pinjar,2003,7.9,3069
planeta humra,2018,5.3,10
polytechnique,2009,3.0,1
portrait of jennie,1948,7.6,8034
posani gentleman,2009,4.2,13
promise to meet,2004,2.0,43
purgatory jack,2023,6.2,174
päivät kuin unta,2024,6.3,11
quit,2010,4.5,180
"railway children, the",1970,8.0,1
recreo,2018,5.7,261
reprendre l'été,2017,7.6,10
ricki and the flash,2015,4.0,1
"rien, voilà l'ordre",2003,6.4,17
rk nagar,2019,5.3,170
room to let,2002,5.5,24
russian death,2019,8.3,163
sa totoo lang!,1985,8.6,51
sabotage,1939,5.7,84
sandy wexler,2017,4.0,1
scent of a spell,1985,5.0,78
schwimmer in der wüste,2001,7.5,23
scootmobiel,2024,7.3,9
"seven-per-cent solution, the",1976,5.0,1
shadows of death,1945,6.0,102
"sick, sick, sick",2019,4.9,178
silent raiders,1954,5.3,85
sirvientas a domicilio,2018,5.9,16
small talk,2023,5.6,8
smiley,2012,3.3,10040
soldier terminators,1988,4.2,35
somebody's life,2014,7.1,60
son of god,2014,3.35,19909
soundtrack to sixteen,2020,5.8,318
spirit of the mountains: the snow leopard,2022,7.5,10
spring equinox,2016,7.6,20
sundarakanda,2008,4.1,40
suspicion,1982,7.1,235
"swing high, swing low",1937,6.1,947
syrsor & cigaretter,2012,7.8,10
tai hou ji xiang,1996,6.2,59
take it big,1944,5.2,34
taxi and telephone,2013,6.9,14
teknolust,2002,4.0,1
temptation,2018,6.6,59
temptation in the summer wind,1972,7.7,27
the bad friend,2007,5.9,347
the badge of marshal brennan,1957,5.8,178
the big ceremonial,1969,5.4,29
the captive bird,1962,3.6,7
the delicious little devil,1919,6.2,930
the game is up: disillusioned trump voters tell their stories,2022,8.6,81
the garden of resurrection,1919,6.6,8
the guilty ones,2019,5.6,104
the influence,2019,4.6,4314
the last meeting,1967,7.8,47
the life of an office worker,1929,5.5,46
the lyme lyte,2017,4.9,11
the other woman,2018,5.5,1980
the salt path,2024,7.9,106
the spider,1945,6.0,225
the traveler,2005,8.5,24
the two brothers,1971,5.4,14
the unholy child,1975,4.0,27
the unspoken,2015,4.9,2383
the vineyard,2000,6.7,68
the voice of ljudmila,2001,7.1,72
the way to eden,2011,5.0,18
the wild one,1953,7.0,1
the zookeeper's wife,2017,7.0,48137
tiao zhan,1997,5.9,9
trade of innocents,2012,5.4,1057
trench 11,2017,5.4,2997
trivikrama,2022,6.9,1118
twilight,1998,4.0,25
v for vendetta,2006,9.0,100
victoria,2023,4.3,180
war for the planet of the apes,2017,1.0,4
warriors of heaven and earth (tian di ying xiong),2003,7.0,2
watercolors,2008,6.4,1662
what's love got to do with it?,1993,8.0,17
white powder,2016,6.5,37
winnie,2017,6.3,217
"xy, drôle de conception",1996,3.8,145
yug the law of karma,2021,6.5,19
çilli yavrum çilli,1975,4.4,11
little darlings,1980,4.0,1
liverpool story,2024,9.3,7
saturn return,2024,6.5,1178
the son of bakunin,1997,7.1,46
trust me u die,1999,4.1,60
unexpected,2015,5.8,3258
"wizard of oz, the",1939,10.0,92
yellow earth,1984,7.1,2659
"#nova",2023,7.5,1995
a brief excursion,2017,6.0,430
a monk's voice,2003,9.5,16
a noite dos duros,1978,7.1,17
a sacrifice,2024,5.1,5090
a yakuza's daughter never cries,2010,4.9,151
aaron... albeit a sex hero,2009,4.4,180
agatha,2022,3.7,146
aitanic,2000,4.7,65
akillara seza,2019,6.7,90
al hay al khalfi,2006,8.3,11
all men are liars,1995,6.2,328
all the pretty horses,2000,5.9,15994
alvin and the chipmunks,2007,4.0,3
alzire or the new continent,1978,7.4,14
american pie presents: band camp (american pie 4: band camp),2005,5.0,7
angker,2014,6.8,21
antitrust,2001,7.0,8
anvil! the story of anvil,2008,8.0,2
"apple, the (sib)",1998,8.0,1
arante mulla kochu mulla,1984,6.8,26
armaan: story of a storyteller,2017,5.9,18
aro ekbar,2015,5.5,37
at first sight,1999,6.0,14692
aurel vlaicu,1977,7.3,77
ayrilik,1972,5.7,129
baytong,2003,7.0,186
beat the devil,1953,7.0,1
behind bruised,2022,8.5,9
bender,2016,4.6,337
benim alti sevgilim,1977,5.3,30
bharya biddalu,1971,4.9,20
bhisma pratigyan,1992,7.1,13
bikram singha: the lion is back,2012,6.1,78
billy's bad,2002,7.7,9
black buddhas,2011,8.6,9
blood-red ox,2021,5.7,91
bonitas e gostosas,1979,5.3,43
breeding farm,2013,2.9,198
bullet in the head,1990,6.0,2
bunicul si doi delincventi minori,1976,6.7,35
cacareco vem aí,1960,7.5,33
capulina vs. the mummies (the terror of guanajuato),1973,5.6,68
"carmo, hit the road",2008,5.6,227
central intelligence,2016,10.0,4
children of the corn ii: the final sacrifice,1993,4.0,2
chosen men,2018,9.0,10
cicada!,2018,4.6,65
city of women,1980,6.9,8463
civilization,1916,5.9,442
countdown,2016,4.7,2040
crepúsculo rojo,2008,6.5,15
daddy cool,2008,5.0,644
dance of the dead,2008,7.0,1
der findes ingen tamme dyr,1983,7.4,9
der haustyrann,1959,6.2,363
dheriyaa,1994,7.2,13
die ministranten,1990,7.3,32
dobrý tramp bernásek,1933,4.3,16
don't get personal,1942,5.7,24
dragon ball z: the history of trunks (doragon bôru z: zetsubô e no hankô!! nokosareta chô senshi - gohan to torankusu),1993,4.0,2
dublin 26.06.08: a movie in 4 days,2008,4.6,54
eden burning,2010,2.8,24
el kafirun,2024,6.5,17
el khoubz el hafi,2005,7.1,94
elizabeth: the golden age,2007,5.0,2
emanuelle in america,1977,5.2,2076
end of a love affair,2004,7.2,8
escape from the iron curtain,1956,4.9,122
escape in the fog,1945,5.9,1224
faces in the fog,1944,5.4,29
faith's song,2017,4.5,279
frank & wendy,2004,6.2,210
frode og alle de andre rødder,2008,4.0,176
geen stil leven,2000,7.1,12
ghosts of mars,2001,9.0,5
gintama live action the movie,2017,6.1,2850
gintama: the final chapter - be forever yorozuya,2013,7.0,1
godzilla (gojira),1954,5.0,3
good girls do,1984,6.8,115
good to go,2012,7.0,265
good will hunting,1997,8.65,1129745
gordon lightfoot: live in reno,2000,7.8,16
grace,2014,5.9,211
greyfriars bobby: the true story of a dog,1961,7.2,1974
half a loaf of kung fu (dian zhi gong fu gan chian chan),1980,6.0,1
hands off mississippi,2007,6.4,443
hands over the city (le mani sulla città),1963,9.0,1
harley davidson and the marlboro man,1991,8.0,6
harrison's flowers,2000,6.5,6950
heartbreakers,2001,5.0,10
hearts divided,1936,6.1,942
heaven on earth,2001,7.0,10
heptic studios five nights at freddy's 3 your turn (the movie cut),2022,5.7,15
histoire de détective,1929,6.3,97
hollywood warrioress: the movie,2016,3.6,47
homecoming: a film by beyoncé,2019,7.6,8210
hot news,1953,5.6,39
house of wax,2005,5.0,9
how to get ahead in advertising,1989,9.0,4
hum hindustani,1960,7.2,83
huntin bigfoot,2014,6.2,9
i remember,2020,6.2,112
i saw the devil (akmareul boatda),2010,8.0,4
i'll wait on you hand and foot,2001,7.2,23
igmanski mars,1983,6.7,502
ikk,2021,6.5,137
imagining zootopia,2016,8.6,58
in our time,1982,6.9,856
in the radiant city,2016,5.7,251
inferno,1980,3.0,6
iranian spread,2002,6.8,70
ishtar,1987,4.0,1
j'ai faim!!!,2001,4.6,337
jenderal kancil: the movie,2012,5.0,8
jhinder bandi,1961,7.7,240
just go with it,2011,10.0,7
just like heaven,2005,4.0,8
kabir singh,2019,7.0,42895
kashin,2016,5.2,152
kennywood memories,1988,8.9,75
ketika mas gagah pergi the movie,2016,8.1,76
kirai kotigadu,1983,5.2,20
la mujer del piso alto,1997,5.2,7
lammbock,2001,9.0,1
las campanas de teresa,1957,8.8,14
lawless,2012,8.0,4
le sette vipere (il marito latino),1964,5.1,42
lean on me,1989,7.0,6
les deux font la paire,1954,5.5,24
life of a mountain: a year on scafell pike,2014,6.4,36
"lion king, the",1994,6.0,172
lost in the moonlight,2016,5.5,71
love means zero,2017,7.1,512
love will come as a forestal fire,2022,5.8,5
loyal through it all,2021,9.4,9
lubber pandhu,2024,8.2,5874
lyudi 1941 goda,2001,7.1,25
madayen,2016,7.2,46
maison de plaisir,1980,6.2,32
making off sangriento: masacre en el set de filmación,2012,6.7,27
manik raitong,1984,9.8,7
"maîtresses dociles, salopes par derrière",1981,4.3,10
mostly martha (bella martha),2001,7.0,1
mr. virgin,2018,5.2,16
mundasupatti,2014,7.6,1785
my fellow americans,1996,4.0,9
müll - der einzig wahre trashfilm,2013,6.5,17
neko taxi the movie,2010,5.1,8
never say never again,1983,10.0,8
nigahen: nagina part ii,1989,5.1,440
"nilde iotti, il tempo delle donne",2020,7.2,14
noin 7 veljestä,1968,6.0,1
o renascimento do parto 2,2018,6.8,15
observar las aves,2019,7.5,44
obszönitäten,1971,4.4,56
on thin ice,2022,5.6,296
one fine day,1996,7.25,49544
operation warzone,1988,3.5,132
over the summer,1985,5.0,46
p22,2015,4.9,67
padmavyuham,1984,9.0,186
paper man,2009,8.0,1
peggy sue got married,1986,9.0,7
pelikan blue,2023,8.0,825
polska love serenade,2008,6.6,101
polul sud,1992,5.7,25
possible changes,2004,6.0,63
posylka s marsa,2004,5.7,30
procuradas,2004,4.7,57
punda prachanda,1991,5.0,9
pyar kiya hai pyar karenge,1986,3.7,54
queen elizabeth ii: the diamond celebration,2012,6.5,161
rage lists,2017,6.4,7
red,2024,4.6,115
red all over,2016,5.1,36
red christmas,2016,4.3,2440
reds,1981,7.0,2
rehearsals,2005,7.0,14
"rescuers down under, the",1990,9.0,10
restraining order,1999,4.4,335
ridicule,1996,6.0,6
road agent,1941,5.9,32
rrugë të bardha,1974,7.5,17
rub,2023,4.5,1689
running of the bulls,2012,7.3,99
sakli yüzler: bosna,2021,7.5,138
sanderson county,2002,7.7,12
sangue toureiro,1958,5.9,40
saulessvece,1986,6.9,32
scott pilgrim vs. the world,2010,8.0,44
secondo ponzio pilato,1987,6.4,138
sentinel,2024,2.6,753
sevdah o rodama,2007,7.8,28
shaft's big score!,1972,6.0,3738
she likes that,2021,6.8,166
sheriff of redwood valley,1946,6.4,62
shyama,1986,7.3,66
silent lake,2013,3.5,40
six jizo,2003,6.2,7
"skulls, the",2000,4.0,10
sons of god,2017,3.8,54
south beach academy,1995,3.7,707
space mutiny,1988,2.1,7524
standoff,2016,5.55,9357
story of a marriage,1964,5.9,84
strazdanota vasara,1988,7.4,29
strelyat sgoryacha ne stoit,1983,4.6,8
sumrak u beckom haustoru,2020,7.1,45
swiatloczula,2025,7.0,145
tao,1923,5.8,7
target market: kids,2011,8.7,8
tattooed tears,1979,7.0,178
telling tales,2015,7.3,17022
tengamos la fiesta en paz,2021,5.4,110
thaamb lakshmi kunku lavatey,1967,6.3,8
thames film,1987,7.9,24
the abstract heart,2015,7.8,24
the axe of wandsbek,1951,7.0,202
the big chamorro circus,1955,7.0,75
the blueblack hussar,2013,6.5,72
the code: legend of the gamers,2007,6.4,16
the cop,1928,5.9,58
the critical mass: underground film in hamburg during the sixties,1998,5.2,7
the desert of pigalle,1958,5.5,26
the devil's garden,1973,5.3,37
the do-over,2016,9.0,2
the fall of heaven,2014,7.0,70
the gang,1963,5.5,142
the hands of orlac,1924,7.0,3652
the hateful eight,2015,8.0,18
the hit list,1993,5.3,1124
the infant at snakeville,1911,5.0,20
the island inside,2009,6.5,313
the leopard man,1943,6.7,6260
the life and the agony,2009,5.4,10
the magnificent ruffians,1979,7.25,506
the marriage of figaro,1976,8.3,197
the microchip,2011,3.4,155
the pelican,1974,7.3,99
the photographer: murder in pinamar,2022,6.7,751
the place beyond the winds,1916,5.9,49
the property,2024,7.6,52
the sandlot journey,2015,8.9,9
the silencing,2020,6.3,36718
the strays,2023,4.9,12716
the thrill killers,1964,5.6,556
the torture of mothers,1980,6.2,11
the trial of the chicago 7,2020,7.7,199645
the trip to tilsit,1939,7.0,88
threat,2006,4.9,408
titip surat untuk tuhan,2024,6.5,40
tokhon kuasa chilo,2020,7.6,17
troe sutok posle bessmertiya,1963,7.0,23
under siege 2: dark territory,1995,6.0,30
undercovers hero,1974,5.2,770
unthinkable,2010,6.0,1
vampire clay 2,2019,5.0,22
velikiy muravinyy put,1992,4.6,11
vesvese: cin fisiltisi,2022,3.1,50
vinyl,2012,5.9,776
wheels on meals (kuai can che),1984,6.0,2
who is cletis tout?,2001,5.65,5102
wing and a prayer,1944,6.6,1648
women of honour: destination army,2021,8.4,11
year of birth,2023,6.0,197
"yes men fix the world, the",2009,8.0,1
yuvathurki,1996,6.8,95
zindagi ek safar,1988,8.0,39
änel,2024,5.8,19
întunericul alb,1982,6.0,32
raising arizona,1987,6.0,58
the h-man,1958,6.0,1749
the truth,2010,4.7,1289
thenpandi seemayile,1988,7.1,11
vetrikku oruvan,1979,5.0,8
13 days,2016,5.8,21
2020,2017,3.6,1123
3 saisons,2009,7.1,69
365 days,2020,3.3,103369
a cosmic christmas,1977,8.0,1
a hoax,1936,6.8,20
a summer place,1959,6.9,4019
abhishapta chambal,1967,5.2,7
acne,2008,5.1,495
adieu galaxy express 999,1981,7.0,646
adventures in babysitting,1987,6.0,20
all about mankiewicz,1983,7.2,44
all the money in the world,2017,6.8,93887
"american astronaut, the",2001,5.0,1
american wilderness,1970,7.9,16
and with him came the west,2019,6.7,55
angel face,2018,6.0,1229
angel-a,2005,8.0,3
aruna & her palate,2018,7.1,953
at close range,1986,8.0,3
attila,1982,6.3,1770
australia prepared,1916,5.6,10
ayalvasi oru daridravasi,1986,6.9,91
baba sathya sai,2017,6.1,17
babylon a.d.,2008,6.25,99482
bad boy: high security cell,2012,7.8,16
barbie & kendra crash joe bob's drive-in jamboree,2024,4.8,107
batanes,2007,7.3,42
becoming julia,2003,7.9,15
behind the glass,2025,8.3,6
beyond rangoon,1995,7.25,5578
bloodsport 2 (a.k.a. bloodsport ii: the next kumite),1996,6.0,8
breathing under water,2000,6.7,183
brick mansions,2014,3.0,1
bring her home,2022,7.7,12
brothers (brødre),2004,9.0,2
brothers of the head,2005,6.2,1886
buffering,2011,4.8,542
burlesque massacre,2011,3.8,123
call me mr. brown,1990,5.7,54
"caution, kids!",2009,6.1,56
charuga,1991,7.3,529
"chloe, love is calling you",1934,3.3,341
close-up,1948,5.7,220
cool and crazy,2001,6.9,766
cosy dens,1999,8.1,6559
crazed,2014,3.7,565
crazy sex,1976,5.6,78
daddy day camp,2007,1.0,1
dance of death,1976,5.5,132
dark of light,2017,7.1,29
dead man,1995,7.25,105782
death becomes her,1992,4.0,15
death trip,2021,2.8,336
deleted scenes,2010,4.8,178
delia & sammy,2018,8.5,9
delicesine,1976,5.2,122
do behnen,1959,5.5,20
don't shoot the messenger,2013,6.2,7
double agent,2003,6.2,393
drop me a cat,2003,5.2,478
dumpster,2005,8.0,23
enough said,2013,5.0,2
equus,1977,7.0,1
eric clapton: across 24 nights,2023,8.6,63
every which way but loose,1978,6.0,3
exodus,2007,4.8,241
fata morgana,1971,6.7,4208
field niggas,2015,7.4,334
follow the fleet,1936,8.0,2
frankenstein must be destroyed,1969,6.0,1
frauensee,2012,5.6,262
ghamad shere,2019,7.4,48
gia ena tagari dollaria,1969,3.5,13
good boy,2003,5.1,4767
hands of gold,2023,5.6,179
harbor lights,1963,5.7,18
hawk of the wilderness,1938,7.3,95
healer,1994,4.7,37
"hidden, the",1987,8.0,4
hoshiar singh,2025,7.2,89
hours of ours,2023,6.7,13
humanoids from the deep,1980,3.0,1
hunt for the wilderpeople,2016,8.0,4
i am,2010,7.5,3947
i think we're alone now,2008,6.8,1669
i'm haunted 3,2024,5.9,40
iberia,2005,7.0,421
if you could see what i hear,1982,6.7,971
ifrit-i cin,2023,1.9,17
impetigore,2019,6.6,8214
in,2006,6.1,35
incident in shanghai,1938,5.2,39
inkognito iz peterburga,1978,6.4,324
istota,2000,6.3,19
it boy,2013,6.3,12557
it's pat,1994,3.0,3
jakarta twilight,2010,7.6,87
jazz in love,2013,6.6,19
jeevan sangharsha,1995,8.1,45
jon,1983,6.4,96
k-9,1989,4.0,1
kanalizasyon,2009,5.0,3995
"king of masks, the (bian lian)",1996,8.0,1
king ralph,1991,4.2,17396
kowloon - the walled city,1988,7.4,40
krov,2013,7.4,31
l'altra donna,1980,6.3,21
la fabrication d'un meurtrier,1996,4.4,16
la signora delle camelie,1915,5.7,69
les immortels,2003,5.4,37
"les misérables, part 1: jean valjean",1913,6.0,59
licze na wasze grzechy,1964,5.9,20
"life of emile zola, the",1937,6.0,1
lonely street,2008,5.1,583
los días calientes,1966,5.3,39
love exposure (ai no mukidashi),2008,10.0,1
love flesh,2011,6.6,28
love sorries,2021,8.8,106
madame wants no children,1933,6.5,24
